fecha;hora;zona;lat;lon;NO2;PM25;PM10;CO2;O3;franja;tipo_dia
2025-05-25;07:37:00;industrial_fondo;39.973726;-0.143516;18818;4;5;431;10;Mañana;Festivo
2025-05-26;07:30:00;industrial_fondo;39.973726;-0.143516;16936;5;8;449;23;Mañana;Laborable
2025-05-25;07:37:00;industrial;39.956937;-0.082364;22581;6;11;420;0;Mañana;Festivo
2025-05-26;07:36:00;industrial;39.956937;-0.082364;22581;6;18;420;41;Mañana;Laborable
2025-05-25;07:36:00;casco_antiguo;39.939536;-0.065209;31991;5;7;451;0;Mañana;Festivo
2025-05-26;07:38:00;casco_antiguo;39.939536;-0.065209;35754;8;11;478;0;Mañana;Laborable
2025-05-25;07:33:00;playa_torre;39.919936;-0.004858;0;3;4;438;0;Mañana;Festivo
2025-05-26;07:30:00;playa_torre;39.919936;-0.004858;0;4;6;419;21;Mañana;Laborable
2025-05-25;06:29:00;playa_refineria;39.945585;-0.008666;16936;7;11;446;0;Mañana;Festivo
2025-05-26;06:30:00;playa_refineria;39.945585;-0.008666;7527;5;11;424;44;Mañana;Laborable
2025-05-25;06:25:00;entrada_CS;39.952447;-0.059171;11291;5;2;426;4;Mañana;Festivo
2025-05-26;06:29:00;entrada_CS;39.952447;-0.059171;24463;6;2;416;35;Mañana;Laborable
2025-05-25;21:29:00;industrial_fondo;39.973726;-0.143516;31991;2;4;446;35;Noche;Festivo
2025-05-26;21:21:00;industrial_fondo;39.973726;-0.143516;11291;2;4;426;47;Noche;Laborable
2025-05-25;21:28:00;industrial;39.956937;-0.082364;16936;4;8;413;48;Noche;Festivo
2025-05-26;21:29:00;industrial;39.956937;-0.082364;5645;4;8;405;54;Noche;Laborable
2025-05-25;21:27:00;casco_antiguo;39.939536;-0.065209;24463;2;5;422;37;Noche;Festivo
2025-05-26;21:30:00;casco_antiguo;39.939536;-0.065209;18818;3;4;425;39;Noche;Laborable
2025-05-25;21:29:00;playa_torre;39.919936;-0.004858;0;2;6;408;48;Noche;Festivo
2025-05-26;21:27:00;playa_torre;39.919936;-0.004858;0;2;4;411;53;Noche;Laborable
2025-05-25;21:29:00;playa_refineria;39.945585;-0.008666;0;4;8;425;393;Noche;Festivo
2025-05-26;21:30:00;playa_refineria;39.945585;-0.008666;0;2;3;424;346;Noche;Laborable
2025-05-25;21:24:00;entrada_CS;39.952447;-0.059171;0;2;4;422;266;Noche;Festivo
2025-05-26;21:24:00;entrada_CS;39.952447;-0.059171;0;3;1;413;304;Noche;Laborable
