zona,lat,lon,NO2,franja,tipo_dia
industrial_fondo,39.973726,-0.143516,18818,Mañana,Festivo
industrial_fondo,39.973726,-0.143516,16936,Mañana,Laborable
industrial,39.956937,-0.082364,22581,Mañana,Festivo
industrial,39.956937,-0.082364,22581,Mañana,Laborable
casco_antiguo,39.939536,-0.065209,31991,Mañana,Festivo
casco_antiguo,39.939536,-0.065209,35754,Mañana,Laborable
playa_torre,39.919936,-0.004858,0,Mañana,Festivo
playa_torre,39.919936,-0.004858,0,Mañana,Laborable
playa_refineria,39.945585,-0.008666,16936,Mañana,Festivo
playa_refineria,39.945585,-0.008666,7527,Mañana,Laborable
entrada_CS,39.952447,-0.059171,11291,Mañana,Festivo
entrada_CS,39.952447,-0.059171,24463,Mañana,Laborable
industrial_fondo,39.973726,-0.143516,31991,Noche,Festivo
industrial_fondo,39.973726,-0.143516,11291,Noche,Laborable
industrial,39.956937,-0.082364,16936,Noche,Festivo
industrial,39.956937,-0.082364,5645,Noche,Laborable
casco_antiguo,39.939536,-0.065209,24463,Noche,Festivo
casco_antiguo,39.939536,-0.065209,18818,Noche,Laborable
playa_torre,39.919936,-0.004858,0,Noche,Festivo
playa_torre,39.919936,-0.004858,0,Noche,Laborable
playa_refineria,39.945585,-0.008666,0,Noche,Festivo
playa_refineria,39.945585,-0.008666,0,Noche,Laborable
entrada_CS,39.952447,-0.059171,0,Noche,Festivo
entrada_CS,39.952447,-0.059171,0,Noche,Laborable
